股票代码,股票简称,公告ID,公告标题,公告时间,时间戳,PDF链接,PDF大小(KB),板块,公告类型代码,orgId
601398,工商银行,1216613647,工商银行H股公告-2022年度报告,2023-04-27,1682524800000,https://static.cninfo.com.cn/finalpage/2023-04-27/1216613647.PDF,13642,SHZB,01010503||010113||010301||012399,jjxt0000019
601398,工商银行,1216282265,工商银行2022年度报告,2023-03-31,1680192000000,https://static.cninfo.com.cn/finalpage/2023-03-31/1216282265.PDF,8404,SHZB,01010503||010113||010301,jjxt0000019
601398,工商银行,1216282260,工商银行2022年度报告摘要,2023-03-31,1680192000000,https://static.cninfo.com.cn/finalpage/2023-03-31/1216282260.PDF,1144,SHZB,01010503||010113||010301,jjxt0000019
601398,工商银行,1213169697,工商银行H股公告-2021年度报告,2022-04-28,1651075200000,https://static.cninfo.com.cn/finalpage/2022-04-28/1213169697.PDF,9357,SHZB,01010503||010113||010301||012399,jjxt0000019
601398,工商银行,1212753509,工商银行2021年度报告,2022-03-31,1648656000000,https://static.cninfo.com.cn/finalpage/2022-03-31/1212753509.PDF,8231,SHZB,01010503||010113||010301,jjxt0000019
601398,工商银行,1212753508,工商银行2021年度报告摘要,2022-03-31,1648656000000,https://static.cninfo.com.cn/finalpage/2022-03-31/1212753508.PDF,861,SHZB,01010503||010113||010301,jjxt0000019
601398,工商银行,1209464439,工商银行2020年度报告,2021-03-27,1616774400000,https://static.cninfo.com.cn/finalpage/2021-03-27/1209464439.PDF,5179,SHZB,01010503||010113||01030101,jjxt0000019
601398,工商银行,1209464438,工商银行2020年度报告摘要,2021-03-27,1616774400000,https://static.cninfo.com.cn/finalpage/2021-03-27/1209464438.PDF,1378,SHZB,01010503||010113||01030110,jjxt0000019
601398,工商银行,1207611540,H股公告-2019年度报告,2020-04-25,1587744000000,https://static.cninfo.com.cn/finalpage/2020-04-25/1207611540.PDF,6643,SHZB,01010503||010113||01030101,jjxt0000019
601398,工商银行,1207419812,2019年年度报告摘要,2020-03-28,1585324800000,https://static.cninfo.com.cn/finalpage/2020-03-28/1207419812.PDF,1044,SHZB,010113||01030110||01010501,jjxt0000019
601398,工商银行,1207419811,2019年年度报告,2020-03-28,1585324800000,https://static.cninfo.com.cn/finalpage/2020-03-28/1207419811.PDF,4848,SHZB,010113||01030101||01010501,jjxt0000019
601398,工商银行,1205958884,2018年年度报告摘要,2019-03-29,1553788800000,https://static.cninfo.com.cn/finalpage/2019-03-29/1205958884.PDF,914,SHZB,01010501||010113||01030110,jjxt0000019
601398,工商银行,1205958883,2018年年度报告,2019-03-29,1553788800000,https://static.cninfo.com.cn/finalpage/2019-03-29/1205958883.PDF,4239,SHZB,01010503||010113||01030101,jjxt0000019
